ENSCEL,Caenorhabditis elegans (Caenorhabditis elegans)
ENSCPO,Cavia porcellus (Guinea Pig)
MGP_LPJ_,Mus musculus (Mouse LP/J)
MGP_AJ_,Mus musculus (Mouse A/J)
ENSSSC,Sus scrofa (Pig)
ENSFDA,Fukomys damarensis (Damara mole rat)
ENSOAN,Ornithorhynchus anatinus (Platypus)
ENSACA,Anolis carolinensis (Anole lizard)
ENSGGO,Gorilla gorilla gorilla (Gorilla)
ENSOGA,Otolemur garnettii (Bushbaby)
ENSSCE,Saccharomyces cerevisiae (Saccharomyces cerevisiae)
ENSLAF,Loxodonta africana (Elephant)
ENSXMA,Xiphophorus maculatus (Platyfish)
ENSHGL,Heterocephalus glaber (Naked mole-rat)
ENSPTR,Pan troglodytes (Chimpanzee)
ENSVPA,Vicugna pacos (Alpaca)
ENSTBE,Tupaia belangeri (Tree Shrew)
ENSCSA,Chlorocebus sabaeus (Vervet-AGM)
ENSDAR,Danio rerio (Zebrafish)
ENSEBU,Eptatretus burgeri (Inshore hagfish)
ENSLOC,Lepisosteus oculatus (Spotted gar)
ENSCJA,Callithrix jacchus (Marmoset)
ENSTTR,Tursiops truncatus (Dolphin)
ENSRBI,Rhinopithecus bieti (Black snub-nosed monkey)
ENSNGA,Nannospalax galili (Upper Galilee mountains blind mole rat)
MGP_CAROLIEiJ_,Mus caroli (Ryukyu mouse)
ENSDNO,Dasypus novemcinctus (Armadillo)
ENSMNE,Macaca nemestrina (Pig-tailed macaque)
ENSSHA,Sarcophilus harrisii (Tasmanian devil)
MGP_PahariEiJ_,Mus pahari (Shrew mouse)
ENSRNO,Rattus norvegicus (Rat)
ENSOPR,Ochotona princeps (Pika)
ENSJJA,Jaculus jaculus (Lesser Egyptian jerboa)
MGP_BALBcJ_,Mus musculus (Mouse BALB/cJ)
MGP_AKRJ_,Mus musculus (Mouse AKR/J)
ENSAMX,Astyanax mexicanus (Cave fish)
ENSSBO,Saimiri boliviensis boliviensis (Bolivian squirrel monkey)
ENSRRO,Rhinopithecus roxellana (Golden snub-nosed monkey)
ENSMPU,Mustela putorius furo (Ferret)
ENSTNI,Tetraodon nigroviridis (Tetraodon)
ENSNLE,Nomascus leucogenys (Gibbon)
ENSTRU,Takifugu rubripes (Fugu)
ENSPPY,Pongo abelii (Orangutan)
ENSFCA,Felis catus (Cat)
ENSAME,Ailuropoda melanoleuca (Panda)
ENSCHO,Choloepus hoffmanni (Sloth)
ENSONI,Oreochromis niloticus (Tilapia)
ENSPAN,Papio anubis (Olive baboon)
ENSFAL,Ficedula albicollis (Flycatcher)
ENSPVA,Pteropus vampyrus (Megabat)
MGP_C57BL6NJ_,Mus musculus (Mouse C57BL/6NJ)
ENSPFO,Poecilia formosa (Amazon molly)
